feature_set,n_features,features,cv_regime,timescale_ns,model,fpr_target,auc,auc_std,pr_auc,pr_auc_std,recall,triage_rate,cost_saved,achieved_fpr,delta_recall_vs_base,delta_cost_vs_base,delta_auc_vs_base
F5_struct_energy,5,"slope, rmsd_var, mean_disp, var_disp, energy_std",protein_logo,3,Logistic Regression,0.2,0.6483333333333333,0.26585292508787217,0.7359126984126985,0.2362656668128504,0.4347826086011342,0.38749999995156253,0.32937499995882813,0.3235294116695502,0.0,0.0,0.0
F4_struct,4,"slope, rmsd_var, mean_disp, var_disp",protein_logo,3,Logistic Regression,0.2,0.7316666666666667,0.29444234800092245,0.7988756613756612,0.25147592450086853,0.4130434781710775,0.33749999995781255,0.2868749999641407,0.23529411757785468,-0.021739130430056708,-0.042499999994687454,0.08333333333333337
LOFO_no_energy_std,4,"slope, rmsd_var, mean_disp, var_disp",protein_logo,3,Logistic Regression,0.2,0.7316666666666667,0.29444234800092245,0.7988756613756612,0.25147592450086853,0.4130434781710775,0.33749999995781255,0.2868749999641407,0.23529411757785468,-0.021739130430056708,-0.042499999994687454,0.08333333333333337
LOFO_no_mean_disp,4,"slope, rmsd_var, var_disp, energy_std",protein_logo,3,Logistic Regression,0.2,0.7150000000000001,0.27958633464194654,0.7633201058201057,0.2545105493559945,0.4565217390311909,0.37499999995312505,0.3187499999601563,0.2647058822750865,0.021739130430056708,-0.010624999998671836,0.06666666666666676
LOFO_no_rmsd_var,4,"slope, mean_disp, var_disp, energy_std",protein_logo,3,Logistic Regression,0.2,0.5780555555555557,0.31827248788296153,0.7188809523809522,0.22646310832139313,0.3695652173109641,0.324999999959375,0.27624999996546873,0.2647058822750865,-0.06521739129017012,-0.0531249999933594,-0.07027777777777766
LOFO_no_slope,4,"rmsd_var, mean_disp, var_disp, energy_std",protein_logo,3,Logistic Regression,0.2,0.6163888888888889,0.33018817119191557,0.7083201058201056,0.2519171834030953,0.4130434781710775,0.37499999995312505,0.3187499999601563,0.3235294116695502,-0.021739130430056708,-0.010624999998671836,-0.03194444444444444
LOFO_no_var_disp,4,"slope, rmsd_var, mean_disp, energy_std",protein_logo,3,Logistic Regression,0.2,0.6275000000000001,0.2544865928215589,0.7366402116402114,0.23123875028720584,0.3913043477410208,0.324999999959375,0.27624999996546873,0.23529411757785468,-0.043478260860113416,-0.0531249999933594,-0.02083333333333326
F1_energy,1,energy_std,protein_logo,3,Logistic Regression,0.2,0.46222222222222226,0.2585190491345504,0.6854021164021165,0.17620338020973064,0.15217391301039698,0.17499999997812501,0.14874999998140626,0.20588235288062284,-0.2826086955907372,-0.18062499997742187,-0.18611111111111106
SINGLE_mean_disp,1,mean_disp,protein_logo,3,Logistic Regression,0.2,0.6005555555555555,0.2732599269090164,0.7262089947089947,0.2363671604692685,0.28260869559073726,0.23749999997031251,0.20187499997476563,0.176470588183391,-0.15217391301039696,-0.1274999999840625,-0.04777777777777781
SINGLE_rmsd_var,1,rmsd_var,protein_logo,3,Logistic Regression,0.2,0.6394444444444445,0.35953244672339874,0.7554365079365079,0.237635853123737,0.3260869564508507,0.2874999999640625,0.2443749999694531,0.23529411757785468,-0.10869565215028354,-0.08499999998937502,-0.008888888888888835
SINGLE_slope,1,slope,protein_logo,3,Logistic Regression,0.2,0.62,0.2980305726300948,0.7785846560846561,0.2097619381267986,0.26086956516068055,0.22499999997187503,0.19124999997609377,0.176470588183391,-0.17391304344045366,-0.13812499998273436,-0.02833333333333332
SINGLE_var_disp,1,var_disp,protein_logo,3,Logistic Regression,0.2,0.6097222222222223,0.3070833019247182,0.7547142857142857,0.239123156414891,0.23913043473062381,0.21249999997343752,0.1806249999774219,0.176470588183391,-0.1956521738705104,-0.14874999998140623,-0.03861111111111104
