feature_set,n_features,features,cv_regime,timescale_ns,model,fpr_target,auc,auc_std,pr_auc,pr_auc_std,recall,triage_rate,cost_saved,achieved_fpr,delta_recall_vs_base,delta_cost_vs_base,delta_auc_vs_base
SINGLE_slope,1,slope,pocket_gkf,5,Logistic Regression,0.2,0.4293948412698413,0.23603647696633623,0.603758525425192,0.18381063750302198,0.06521739129017014,0.12499999998437501,0.09374999998828126,0.20588235288062284,-0.4999999998913044,-0.2156249999730469,-0.2854626623376624
SINGLE_var_disp,1,var_disp,pocket_gkf,5,Logistic Regression,0.2,0.6184821428571429,0.09460114592809937,0.6813700882450882,0.12579504341198808,0.26086956516068055,0.22499999997187503,0.16874999997890627,0.176470588183391,-0.30434782602079397,-0.1406249999824219,-0.0963753607503608
F5_struct_energy,5,"slope, rmsd_var, mean_disp, var_disp, energy_std",protein_logo,5,Logistic Regression,0.2,0.6538888888888889,0.31441990481394444,0.7634920634920636,0.22734746560808136,0.5869565216115312,0.4374999999453125,0.3281249999589844,0.23529411757785468,0.0,0.0,0.0
F4_struct,4,"slope, rmsd_var, mean_disp, var_disp",protein_logo,5,Logistic Regression,0.2,0.6733333333333333,0.3561912719624419,0.7829497354497356,0.23713782889328364,0.5434782607514178,0.39999999995,0.2999999999625,0.20588235288062284,-0.043478260860113416,-0.028124999996484434,0.019444444444444486
LOFO_no_energy_std,4,"slope, rmsd_var, mean_disp, var_disp",protein_logo,5,Logistic Regression,0.2,0.6733333333333333,0.3561912719624419,0.7829497354497356,0.23713782889328364,0.5434782607514178,0.39999999995,0.2999999999625,0.20588235288062284,-0.043478260860113416,-0.028124999996484434,0.019444444444444486
LOFO_no_mean_disp,4,"slope, rmsd_var, var_disp, energy_std",protein_logo,5,Logistic Regression,0.2,0.7025000000000001,0.3115663831531109,0.7806349206349206,0.23089733702863177,0.5652173911814745,0.41249999994843756,0.30937499996132817,0.20588235288062284,-0.021739130430056708,-0.018749999997656253,0.04861111111111127
LOFO_no_rmsd_var,4,"slope, mean_disp, var_disp, energy_std",protein_logo,5,Logistic Regression,0.2,0.58,0.2950800268100541,0.7163941798941799,0.2129240840977584,0.3260869564508507,0.29999999996250004,0.22499999997187503,0.2647058822750865,-0.26086956516068055,-0.10312499998710939,-0.07388888888888889
LOFO_no_slope,4,"rmsd_var, mean_disp, var_disp, energy_std",protein_logo,5,Logistic Regression,0.2,0.6466666666666666,0.2563237247151575,0.7384179894179893,0.2276569840219133,0.4347826086011342,0.34999999995625003,0.26249999996718754,0.23529411757785468,-0.152173913010397,-0.06562499999179688,-0.007222222222222241
LOFO_no_var_disp,4,"slope, rmsd_var, mean_disp, energy_std",protein_logo,5,Logistic Regression,0.2,0.685,0.2506694739795518,0.78015873015873,0.22508652209500102,0.5869565216115312,0.42499999994687504,0.3187499999601563,0.20588235288062284,0.0,-0.009374999998828126,0.0311111111111112
F1_energy,1,energy_std,protein_logo,5,Logistic Regression,0.2,0.5458333333333335,0.27507995470677515,0.7264206349206349,0.17695558303050868,0.23913043473062381,0.21249999997343752,0.15937499998007815,0.176470588183391,-0.34782608688090744,-0.16874999997890627,-0.10805555555555535
SINGLE_mean_disp,1,mean_disp,protein_logo,5,Logistic Regression,0.2,0.6430555555555556,0.30006815069535187,0.7568439153439154,0.2305890926562343,0.23913043473062381,0.22499999997187503,0.16874999997890627,0.20588235288062284,-0.34782608688090744,-0.15937499998007815,-0.01083333333333325
SINGLE_rmsd_var,1,rmsd_var,protein_logo,5,Logistic Regression,0.2,0.5566666666666668,0.34155418202572085,0.718690476190476,0.22884168876871736,0.3260869564508507,0.2874999999640625,0.2156249999730469,0.23529411757785468,-0.26086956516068055,-0.11249999998593752,-0.0972222222222221
SINGLE_slope,1,slope,protein_logo,5,Logistic Regression,0.2,0.5441666666666667,0.30847519259163203,0.7162089947089946,0.21151315888738478,0.10869565215028355,0.1374999999828125,0.10312499998710938,0.176470588183391,-0.4782608694612477,-0.22499999997187503,-0.10972222222222217
SINGLE_var_disp,1,var_disp,protein_logo,5,Logistic Regression,0.2,0.5477777777777779,0.30310838219690445,0.7197275132275133,0.22160278503815042,0.1956521738705104,0.22499999997187503,0.16874999997890627,0.2647058822750865,-0.39130434774102085,-0.15937499998007815,-0.10611111111111093
